amount,vendor,date,description
-45.50,Carrefour,2025-01-15,Weekly groceries
-12.30,Netflix,2025-01-20,Monthly subscription
-85.00,Shell,2025-01-22,Gas station refuel
-23.45,Amazon,2025-02-03,Office supplies
-150.00,Zara,2025-02-10,Winter clothing
-8.50,Starbucks,2025-02-14,Coffee and pastry
-65.00,Vodafone,2025-02-28,Mobile phone bill
-200.00,Booking.com,2025-03-05,Hotel reservation
-34.20,Mercadona,2025-03-12,Groceries
-15.00,Spotify,2025-03-15,Music subscription
-92.00,Repsol,2025-03-20,Fuel
-45.80,El Corte Ingles,2025-04-02,Home supplies
-120.00,Decathlon,2025-04-10,Sports equipment
-28.50,Uber Eats,2025-04-15,Food delivery
-75.00,Endesa,2025-04-25,Electricity bill
-55.00,H&M,2025-05-05,Clothing
-18.90,McDonald's,2025-05-12,Fast food
-110.00,Amazon,2025-05-20,Electronics
-42.00,Dia,2025-05-28,Groceries
-95.00,BP,2025-06-03,Gas station
