amount,vendor,date,description
-125.00,Whole Foods,2025-01-18,Organic groceries
-15.99,Hulu,2025-01-20,Streaming service
-65.00,Chevron,2025-01-25,Gas fill-up
-89.99,Best Buy,2025-02-05,Tech accessories
-200.00,Macy's,2025-02-12,Shopping
-5.75,Dunkin Donuts,2025-02-16,Breakfast
-80.00,AT&T,2025-02-28,Phone bill
-350.00,Airbnb,2025-03-08,Weekend getaway
-78.50,Trader Joe's,2025-03-15,Weekly shopping
-12.99,Disney+,2025-03-20,Subscription
-70.00,Shell,2025-03-25,Fuel
-45.00,Target,2025-04-05,Household items
-155.00,Nike,2025-04-12,Running shoes
-32.00,DoorDash,2025-04-18,Dinner delivery
-120.00,Con Edison,2025-04-30,Utility bill
-95.00,Gap,2025-05-08,Summer clothes
-24.50,Chipotle,2025-05-15,Lunch
-180.00,Apple Store,2025-05-22,AirPods
-68.00,Costco,2025-05-30,Bulk shopping
-75.00,Mobil,2025-06-05,Gas
