amount,vendor,date,description
-180.00,Plaza Vea,2025-01-12,Compras del mes
-45.00,Movistar,2025-01-20,Recargas celular
-120.00,Primax,2025-01-24,Combustible
-85.50,Ripley,2025-02-02,Ropa casual
-250.00,Wong,2025-02-08,Supermercado
-25.00,Starbucks Peru,2025-02-15,Café con amigos
-95.00,Claro,2025-02-28,Internet fibra
-450.00,Despegar,2025-03-06,Pasajes Cusco
-165.00,Metro,2025-03-14,Compras semanales
-38.00,Netflix Peru,2025-03-20,Suscripción
-110.00,Pecsa,2025-03-26,Gasolina
-72.00,Tambo,2025-04-04,Compras variadas
-320.00,Saga Falabella,2025-04-11,Electrodomésticos
-55.00,Rappi,2025-04-17,Delivery almuerzo
-180.00,Luz del Sur,2025-04-28,Recibo luz
-145.00,Oechsle,2025-05-06,Zapatos
-48.00,KFC,2025-05-13,Cena familiar
-280.00,Sodimac,2025-05-21,Herramientas hogar
-95.00,Vivanda,2025-05-29,Compras gourmet
-125.00,Repsol,2025-06-04,Tanque lleno
